GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vernite,dev.vernite.vernite.utils,NotFoundRepository,6,0,0,0,1,0,1,0,1,0
vernite,dev.vernite.vernite.utils,ExternalApiException,16,0,0,0,2,0,1,0,1,0
vernite,dev.vernite.vernite.utils,FieldErrorException,0,16,0,0,0,2,0,1,0,1
vernite,dev.vernite.vernite.utils,SecureStringUtils,33,0,2,0,6,0,3,0,2,0
vernite,dev.vernite.vernite.utils,SoftDeleteEntity,0,11,0,0,0,3,0,2,0,2
vernite,dev.vernite.vernite.utils,ImageConverter.SeekPointer,65,0,10,0,15,0,8,0,2,0
vernite,dev.vernite.vernite.utils,ObjectNotFoundException,0,5,0,0,0,2,0,1,0,1
vernite,dev.vernite.vernite.utils,ImageConverter,497,0,80,0,137,0,42,0,2,0
vernite,dev.vernite.vernite.common.exception,EntityNotFoundException,0,11,0,0,0,4,0,1,0,1
vernite,dev.vernite.vernite.common.exception,ConflictStateException,0,7,0,0,0,3,0,1,0,1
vernite,dev.vernite.vernite.common.exception,ExternalApiException,7,0,0,0,3,0,1,0,1,0
vernite,dev.vernite.vernite.integration.calendar,CalendarName,37,0,0,0,12,0,6,0,6,0
vernite,dev.vernite.vernite.integration.calendar,CalendarSyncService,208,9,10,0,32,2,6,2,1,2
vernite,dev.vernite.vernite.integration.calendar,CalendarName.Factory,19,0,0,0,4,0,3,0,3,0
vernite,dev.vernite.vernite.integration.calendar,CalendarIntegration,45,3,0,0,19,2,10,1,10,1
vernite,dev.vernite.vernite.integration.git.github.data,GitHubInstallationApi,0,33,0,0,0,15,0,8,0,8
vernite,dev.vernite.vernite.integration.git.github.data,GitHubMergeInfo,36,0,0,0,16,0,8,0,8,0
vernite,dev.vernite.vernite.integration.git.github.data,GitHubUser,0,26,0,0,0,12,0,6,0,6
vernite,dev.vernite.vernite.integration.git.github.data,GitHubIssue,51,68,3,1,9,27,5,13,3,13
vernite,dev.vernite.vernite.integration.git.github.data,GitHubRepository,2,124,2,16,1,30,2,18,0,11
vernite,dev.vernite.vernite.integration.git.github.data,GitHubCommit,0,26,0,0,0,12,0,6,0,6
vernite,dev.vernite.vernite.integration.git.github.data,GitHubPullRequest,35,34,2,0,5,12,3,6,2,6
vernite,dev.vernite.vernite.integration.git.github.data,GitHubBranch,0,16,0,0,0,8,0,4,0,4
vernite,dev.vernite.vernite.ws.packets,SendMessageHandler,67,18,6,0,21,5,4,3,1,3
vernite,dev.vernite.vernite.ws.packets,KeepAliveHandler,18,0,0,0,5,0,3,0,3,0
vernite,dev.vernite.vernite,WebConfig,6,150,1,1,1,26,1,6,0,6
vernite,dev.vernite.vernite,RateLimitInterceptor,217,47,28,1,49,15,19,4,4,4
vernite,dev.vernite.vernite,VerniteApplication,5,3,0,0,2,1,1,1,1,1
vernite,dev.vernite.vernite.integration,WebhookController,5,41,0,2,1,10,1,4,1,3
vernite,dev.vernite.vernite.integration.git.github.api,GitHubConfiguration,0,43,0,0,0,9,0,1,0,1
vernite,dev.vernite.vernite.task,Task,26,329,11,41,5,75,10,35,0,19
vernite,dev.vernite.vernite.task,TaskRepository,0,295,4,4,0,43,4,11,0,11
vernite,dev.vernite.vernite.task,TaskEstimateEventProvider,0,46,0,0,0,7,0,4,0,4
vernite,dev.vernite.vernite.task,TaskDeadlineEventProvider,0,46,0,0,0,7,0,4,0,4
vernite,dev.vernite.vernite.task,Task.Type,2,76,1,17,1,10,1,12,0,2
vernite,dev.vernite.vernite.task,TaskController,81,491,13,33,13,105,13,22,1,11
vernite,dev.vernite.vernite.task,TaskFilter,26,319,3,5,3,53,5,20,2,19
vernite,dev.vernite.vernite.task,TaskListener,0,60,0,0,0,17,0,5,0,5
vernite,dev.vernite.vernite.task,UpdateTask,0,49,0,0,0,14,0,5,0,5
vernite,dev.vernite.vernite.task,CreateTask,0,17,0,0,0,2,0,1,0,1
vernite,dev.vernite.vernite.integration.communicator.slack.model,SlackChannel,14,0,0,0,2,0,1,0,1,0
vernite,dev.vernite.vernite.integration.communicator.slack.model,SlackMessage,23,0,2,0,3,0,2,0,1,0
vernite,dev.vernite.vernite.integration.communicator.slack.model,SlackUser,18,0,0,0,3,0,1,0,1,0
vernite,dev.vernite.vernite.user.auth,AuthController,976,57,107,1,241,12,75,4,21,4
vernite,dev.vernite.vernite.user.auth,VerificationEmails,97,33,17,1,26,12,11,5,2,5
vernite,dev.vernite.vernite.ws,PacketExecutor,199,0,16,0,46,0,13,0,5,0
vernite,dev.vernite.vernite.ws,SocketHandler,158,35,18,2,44,10,20,5,10,5
vernite,dev.vernite.vernite.ws,WebSocketInterceptor,105,7,18,0,25,2,11,2,2,2
vernite,dev.vernite.vernite.ws,SocketSession,84,0,4,0,26,0,9,0,7,0
vernite,dev.vernite.vernite.task.time,TimeTrack,0,122,0,12,0,33,0,13,0,7
vernite,dev.vernite.vernite.task.time,TimeTrackRepository,0,31,0,2,0,4,0,3,0,2
vernite,dev.vernite.vernite.task.time,TimeTrackController,0,146,0,2,0,24,0,7,0,6
